size_bytes,size_kb,size_mb,elements,cycles_per_iteration
354304,346,0.337891,88576,1.54813
355328,347,0.338867,88832,1.58384
356352,348,0.339844,89088,1.58171
357376,349,0.34082,89344,1.58632
358400,350,0.341797,89600,1.58179
359424,351,0.342773,89856,1.57824
360448,352,0.34375,90112,1.54894
361472,353,0.344727,90368,1.55597
362496,354,0.345703,90624,1.5772
363520,355,0.34668,90880,1.55809
364544,356,0.347656,91136,1.54805
365568,357,0.348633,91392,1.54607
366592,358,0.349609,91648,1.55207
367616,359,0.350586,91904,1.54634
368640,360,0.351562,92160,1.54438
369664,361,0.352539,92416,1.54615
370688,362,0.353516,92672,1.55069
371712,363,0.354492,92928,1.54457
372736,364,0.355469,93184,1.58186
373760,365,0.356445,93440,1.57891
374784,366,0.357422,93696,1.55486
375808,367,0.358398,93952,1.5584
376832,368,0.359375,94208,1.55828
377856,369,0.360352,94464,1.56043
378880,370,0.361328,94720,3.1569
379904,371,0.362305,94976,1.55745
380928,372,0.363281,95232,1.54829
381952,373,0.364258,95488,1.54594
382976,374,0.365234,95744,1.55169
384000,375,0.366211,96000,1.55024
385024,376,0.367188,96256,1.55148
386048,377,0.368164,96512,1.55449
387072,378,0.369141,96768,1.58104
388096,379,0.370117,97024,3.15639
389120,380,0.371094,97280,1.57537
390144,381,0.37207,97536,1.55801
391168,382,0.373047,97792,1.54953
392192,383,0.374023,98048,3.15237
393216,384,0.375,98304,1.55109
394240,385,0.375977,98560,1.55273
395264,386,0.376953,98816,1.54436
396288,387,0.37793,99072,1.5434
397312,388,0.378906,99328,1.54375
398336,389,0.379883,99584,1.54194
399360,390,0.380859,99840,1.54488
400384,391,0.381836,100096,2.37003
401408,392,0.382812,100352,1.54257
402432,393,0.383789,100608,1.54805
403456,394,0.384766,100864,1.54113
404480,395,0.385742,101120,1.54446
405504,396,0.386719,101376,1.5711
406528,397,0.387695,101632,1.55064
407552,398,0.388672,101888,1.54844
408576,399,0.389648,102144,1.54413
409600,400,0.390625,102400,1.54321
410624,401,0.391602,102656,1.54565
411648,402,0.392578,102912,1.5464
412672,403,0.393555,103168,1.54756
413696,404,0.394531,103424,1.55828
414720,405,0.395508,103680,1.54656
415744,406,0.396484,103936,1.5444
416768,407,0.397461,104192,1.54597
417792,408,0.398438,104448,1.55001
418816,409,0.399414,104704,1.55155
419840,410,0.400391,104960,1.54572
420864,411,0.401367,105216,1.54973
421888,412,0.402344,105472,1.54556
422912,413,0.40332,105728,1.54507
423936,414,0.404297,105984,1.54418
424960,415,0.405273,106240,1.54531
425984,416,0.40625,106496,1.54402
427008,417,0.407227,106752,1.54515
428032,418,0.408203,107008,1.54869
429056,419,0.40918,107264,1.58147
430080,420,0.410156,107520,1.55131
431104,421,0.411133,107776,1.54723
432128,422,0.412109,108032,1.54277
433152,423,0.413086,108288,1.54746
434176,424,0.414062,108544,1.54262
435200,425,0.415039,108800,1.55282
436224,426,0.416016,109056,1.54721
437248,427,0.416992,109312,1.55027
438272,428,0.417969,109568,1.54429
439296,429,0.418945,109824,1.54617
440320,430,0.419922,110080,1.58516
441344,431,0.420898,110336,1.54679
442368,432,0.421875,110592,1.57937
443392,433,0.422852,110848,1.54663
444416,434,0.423828,111104,1.54384
445440,435,0.424805,111360,1.54454
446464,436,0.425781,111616,1.5306
447488,437,0.426758,111872,1.53247
448512,438,0.427734,112128,1.53089
449536,439,0.428711,112384,1.5385
450560,440,0.429688,112640,1.53882
451584,441,0.430664,112896,1.53381
452608,442,0.431641,113152,1.70097
453632,443,0.432617,113408,1.53181
454656,444,0.433594,113664,1.53063
455680,445,0.43457,113920,3.06118
456704,446,0.435547,114176,1.54524
457728,447,0.436523,114432,1.53652
458752,448,0.4375,114688,1.54396
459776,449,0.438477,114944,1.53828
460800,450,0.439453,115200,1.53747
461824,451,0.44043,115456,1.53816
462848,452,0.441406,115712,1.54108
463872,453,0.442383,115968,1.53804
464896,454,0.443359,116224,1.53873
465920,455,0.444336,116480,1.53941
466944,456,0.445312,116736,1.53824
467968,457,0.446289,116992,1.54921
468992,458,0.447266,117248,1.54693
470016,459,0.448242,117504,1.54648
471040,460,0.449219,117760,1.53947
472064,461,0.450195,118016,1.53868
473088,462,0.451172,118272,1.53753
474112,463,0.452148,118528,1.54038
475136,464,0.453125,118784,1.54032
476160,465,0.454102,119040,1.53917
477184,466,0.455078,119296,1.53767
478208,467,0.456055,119552,1.54085
479232,468,0.457031,119808,1.54438
480256,469,0.458008,120064,1.53894
481280,470,0.458984,120320,1.53781
482304,471,0.459961,120576,1.54881
483328,472,0.460938,120832,1.54019
484352,473,0.461914,121088,1.53871
485376,474,0.462891,121344,1.54007
486400,475,0.463867,121600,1.61179
487424,476,0.464844,121856,1.53889
488448,477,0.46582,122112,1.54095
489472,478,0.466797,122368,1.58516
490496,479,0.467773,122624,1.54363
491520,480,0.46875,122880,1.57751
492544,481,0.469727,123136,1.54175
493568,482,0.470703,123392,1.54169
494592,483,0.47168,123648,1.54128
495616,484,0.472656,123904,1.54226
496640,485,0.473633,124160,1.57406
497664,486,0.474609,124416,1.57739
498688,487,0.475586,124672,1.54414
499712,488,0.476562,124928,1.57471
500736,489,0.477539,125184,1.54882
501760,490,0.478516,125440,1.54805
502784,491,0.479492,125696,1.54388
503808,492,0.480469,125952,1.57829
504832,493,0.481445,126208,1.54102
505856,494,0.482422,126464,1.58482
506880,495,0.483398,126720,1.54429
507904,496,0.484375,126976,1.58622
