size_bytes,size_kb,size_mb,elements,cycles_per_iteration
643072,628,0.613281,160768,1.5061
644096,629,0.614258,161024,1.50771
645120,630,0.615234,161280,1.53172
646144,631,0.616211,161536,1.51305
647168,632,0.617188,161792,1.51225
648192,633,0.618164,162048,1.50535
649216,634,0.619141,162304,1.50536
650240,635,0.620117,162560,1.53526
651264,636,0.621094,162816,1.51198
652288,637,0.62207,163072,1.50539
653312,638,0.623047,163328,1.50909
654336,639,0.624023,163584,1.50699
655360,640,0.625,163840,1.51644
656384,641,0.625977,164096,1.51041
657408,642,0.626953,164352,1.51538
658432,643,0.62793,164608,1.52138
659456,644,0.628906,164864,1.51615
660480,645,0.629883,165120,1.51615
661504,646,0.630859,165376,1.5086
662528,647,0.631836,165632,1.51354
663552,648,0.632812,165888,1.50887
664576,649,0.633789,166144,1.51146
665600,650,0.634766,166400,1.53704
666624,651,0.635742,166656,1.54784
667648,652,0.636719,166912,1.50863
668672,653,0.637695,167168,1.50812
669696,654,0.638672,167424,2.293
670720,655,0.639648,167680,2.90394
671744,656,0.640625,167936,1.51044
672768,657,0.641602,168192,1.52041
673792,658,0.642578,168448,1.53444
674816,659,0.643555,168704,1.50662
675840,660,0.644531,168960,1.50816
676864,661,0.645508,169216,1.52163
677888,662,0.646484,169472,1.51375
678912,663,0.647461,169728,1.50767
679936,664,0.648438,169984,1.54663
680960,665,0.649414,170240,1.50616
681984,666,0.650391,170496,1.52181
683008,667,0.651367,170752,1.54496
684032,668,0.652344,171008,1.53058
685056,669,0.65332,171264,1.50971
686080,670,0.654297,171520,1.50771
687104,671,0.655273,171776,1.50571
688128,672,0.65625,172032,1.50972
689152,673,0.657227,172288,1.51521
690176,674,0.658203,172544,3.01995
691200,675,0.65918,172800,1.5157
692224,676,0.660156,173056,1.51992
693248,677,0.661133,173312,1.50998
694272,678,0.662109,173568,1.52708
695296,679,0.663086,173824,1.51444
696320,680,0.664062,174080,1.50777
697344,681,0.665039,174336,1.51419
698368,682,0.666016,174592,1.51664
699392,683,0.666992,174848,1.52869
700416,684,0.667969,175104,1.51393
701440,685,0.668945,175360,1.51098
702464,686,0.669922,175616,1.51
703488,687,0.670898,175872,1.50781
704512,688,0.671875,176128,1.50684
705536,689,0.672852,176384,1.52318
706560,690,0.673828,176640,1.50855
707584,691,0.674805,176896,1.50783
708608,692,0.675781,177152,1.52483
709632,693,0.676758,177408,1.51584
